N°,Ubigeo,Empresa Operadora,Region,Provincia,Distrito,Centro Poblado,2G,3G,4G,5G
1,101010001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CHACHAPOYAS,6,21,27,
2,101010004,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,EL TAPIAL,,1,2,
3,101020001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,ASUNCION,ASUNCION,2,,,
4,101020002,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,ASUNCION,VISTA HERMOSA,1,,,
5,101030001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,BALSAS,BALSAS,1,,,
6,101040001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHETO,CHETO,2,2,3,
7,101050001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHILIQUIN,CHILIQUIN,2,,2,
8,101050011,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHILIQUIN,PULBILON,1,,,
9,101050045,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHILIQUIN,VISTA HERMOSA,1,,,
10,101060001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUQUIBAMBA,1,,,
11,101060003,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUMBOL,1,,,
12,101060009,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,COCHABAMBA,1,,,
13,101060011,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,VISTA ALEGRE,1,,,
14,101060033,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CANAAN,1,,,
15,101060034,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,AÑAZCO PUEBLO,1,,,
16,101070011,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,GRANADA,AIRECAMPO,1,,2,
17,101090001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,LA JALCA,LA JALCA,1,2,3,
18,101090062,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,LA JALCA,QUILLUNYA,1,,,
19,101100011,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,GUILIPE,1,2,6,
20,101110001,Telefónica del Perú S.A.A.,AMAZONAS,CHACHAPOYAS,LEVANTO,LEVANTO,1,,,
