Departamento,Poblacion
Amazonas,"426,806"
Ancash,"1,180,638"
Apurimac,"430,736"
Arequipa,"1,497,438"
Ayacucho,"668,213"
Cajamarca,"1,453,711"
Callao,"1,129,854"
Cusco,"1,357,075"
Huancavelica,"365,317"
Huanuco,"760,267"
Ica,"975,182"
Junin,"1,361,467"
La Libertad,"2,016,771"
Lambayeque,"1,310,785"
Lima,"10,628,470"
Loreto,"1,027,559"
Madre de Dios,"173,811"
Moquegua,"192,740"
Pasco,"271,904"
Piura,"2,047,954"
Puno,"1,237,997"
San Martin,"899,648"
Tacna,"370,974"
Tumbes,"251,521"
Ucayali,"589,110"
