DEPARTAMENTO,VIVIENDAS_2017,INCREMENTO_ANUAL
AMAZONAS,"138,806","2,613"
ANCASH,"412,339","9,812"
APURIMAC,"181,374","3,331"
AREQUIPA,"565,799","22,217"
AYACUCHO,"277,528","5,470"
CAJAMARCA,"503,426","9,105"
CALLAO,"281,882","6,927"
CUSCO,"444,986","8,649"
HUANCAVELICA,"175,192","1,837"
HUANUCO,"263,565","3,720"
ICA,"297,847","10,035"
JUNIN,"439,270","9,070"
LA LIBERTAD,"549,365","13,330"
LAMBAYEQUE,"353,973","8,574"
LIMA,"2,969,869","84,612"
LORETO,"221,008","3,737"
MADRE DE DIOS,"51,498","2,130"
MOQUEGUA,"82,308","2,476"
PASCO,"93,982","1,631"
PIURA,"558,102","14,968"
PUNO,"605,503","10,685"
SAN MARTIN,"258,005","6,697"
TACNA,"150,915","5,125"
TUMBES,"80,439","2,509"
UCAYALI,"145,868","4,412"
